normalperson wj225|See: Batshua
leap_year Setzer|A leap year is a year that is divisible by four, but not by 100, but it may be divisible by 400.  int isLeapYear(int year) { if ((((year % 4) == 0) && ((year % 100) != 0)) || ((year % 400) == 0)) return true; return false; }  /* true means it IS a leap year */
butwhy wj225|For the same reason anyone should do anything: just to piss people off.
rahr wj225|RaHR! (c) DrgdHmstr, rights sold to wj225
communism wj225|We all signed a creed saying GPL is good, capitalism is evil, RMS should be king and we should only eat grass. It's your day to cook for the commune, btw.
reverse Setzer| How to reverse a string: for(q=strlen(a)-1;q>0;q--) for(i=0;i<q;i++) a[i]^=a[i+1]^=a[i]^=a[i+1];
thread_safety_dance wj225|See: thread_saftey_dance. Note the spelling.
webdav Setzer|WebDAV: Web-based Distributed Authoring and Versioning -- http://www.webdav.org
LinkedListExample Setzer|Linked List Example: http://twistedmatrix.com/users/jh.twistd/c/moin.cgi/LinkedListSnippet
zoo_proper Setzer|o/~ Fuck, fuck, fuck a duck, screw a kangaroo!  Finger bang an orangutan and Support your local zoo! o/~
gamelearn CyrixLord|helo i want make a game liek cantar strake wat do i do plz help msg me kthxbye
people wj225|"People are multifaceted and complex and shit. (Batshua, 4/22/02)"
wj225 wj225|No, he's not somebody you know.
mexicans poorboy|When we are not wrestling, or bending and scooping.  We are on irc, hanging out in #c kicking each other and having taco fights.  Thank you very much.
LART evilbadz|Luser Attitude Readjustment Tool
rkeene aedinius|<poorboy> You are a fruit cake rkeene.
aedinius aedinius|Always wear a hat!
arguing poorboy|http://www.nand.net/~dschin/pix/special.jpg
s&m undone|Science and math, duh!
atta undone|I love S&M!  So bring it on!
hack2 Teckla|calc hack2
zobje undone|Strange but not a stranger - http://onemanisland.diaryland.com
ascii undone|http://www.jimprice.com/jim-asc.htm
python Setzer|Go here for Python: Python is an interpreted, interactive, object-oriented programming language.  Found at: http://www.python.org
fear undone|I must not fear. Fear is the mind-killer. Fear is the little-death that brings total obliteration. I will face my fear. I will permit it to pass over me and through me. And when it has gone past I will turn the inner eye to see its path. Where the fear has gone there will be nothing. Only I will remain.
will undone|It is by will alone I set my mind in motion. It is by the juice of saphoo that thoughts acquire speed, the lips acquire stains, the stains become a warning. It is by will alone I set my mind in motion.
homeworkhelp CyrixLord|Please choose from the following reasons why you need help 1) I Never bothered to ask my teacher 2) Im a scriptkiddie, not a programmer 3) i smoked weed instead of went to class 3) I live in a 3rd world country, far away from any books/tutes/internet search engines 4) i'm incompetent 5)I have ADD, yet I can spend hours on IRC downloading porn/warez 6) I WAS spending hours downloading pr0n/warez 
YASS Setzer|YASS: Yet Another Setzer Sigh
attaboy poorboy|We are bot, resistance is futile.
texas poorboy|<aedinius> trapped in hel.. I mean texas.
pimpl cout|http://www.gotw.ca/gotw/028.htm
help poorboy|help is for lewsers.
poorboy poorboy|Marking his territory one leg at a time!
c++.faq bjarne|ftp://rtfm.mit.edu/pub/usenet/comp.lang.c++/ or ftp://ftp.uu.net/usenet/news.answers/C++-faq/
ddj bjarne|http://www.ddj.com/
mfc.faq bjarne|http://www.unx.com/~scot/mfc_faq.html
grok bjarne|grok - Literally, to drink. Full, Wholehearted understanding.
lycos bjarne|A very powerful searching engine -- http://www.lycos.com/
ops `CYCO|In #C ops are used for managing a channel.  If you don't have ops, perhaps you don't need to manage the channel right now.  No big deal.
websearch bjarne|http://www.doc.ic.ac.uk/~jal/forms.html
snippets bjarne|ftp://ftp.coast.net/SimTel/msdos/c/snip9510.zip
pcgpe bjarne|ftp://x2ftp.oulu.fi/pub/msdos/programming/gpe/pcgpe*.zip
devinfo bjarne|http://www.devinfo.com/
c++.annotations bjarne|http://www.icce.rug.nl/docs/cplusplus/cplusplus.html
GNU-C bjarne|ftp://prep.ai.mit.edu/pub/gnu/
MS bjarne|http://www.microsnot.com <-- Go There ;)
CGI `CYCO|CGI == Common Gateway Interface
& bjarne|'&' is C's address-of operator. It returns the address of a variable. ex: MyPointer = &MyThing;
-> bjarne|object->item is a shorthand alternative to (*object).item
calcmania bjarne|When people in #c get bored of coding and amuse themselves with stupid calcs at my typing expense. }=:)
* bjarne|The symbol '*' in C has three functions: 1) Math operator. 2) To DECLARE an identifier as a pointer. 3) To dereference a pointer (calc dereference for more info).
ESS `CYCO|Electron Storm Services (http://www.estorm.com)
bebox bjarne|http://www.be.com/
graphicformats bjarne|http://www.dcs.ed.ac.uk/~mxr/gfx/index.html
chowtoprogram bjarne|Looking for a good C programming book? Pick up "C How To Program" by Deitel and Deitel. Saeger's recommendation.
pthreads bjarne|http://www.mit.edu:8001//people/proven/pthreads.html PTHREADS!!! Proven's POSIX THREADS!!!
x2ftp.mirror bjarne|ftp://mirrors.aol.com/pub/x2ftp/pub/msdos/programming/
sexy bjarne|I am a SeXy PrOgRaMmInG ViXeN..... *PuRrRrR!*
god bjarne|God's name is Eris, and he is a girl.
ftpsearch bjarne|http://ftpsearch.htnu.no/ftpsearch/
COBOL bjarne|A dark coal like substance.
PERL-tut bjarne|http://www.theochem.uni-stuttgart.de/internal/docu/Perl/perl_tutorial.html
ethernet bjarne|Ethernet (n): something used to catch the etherbunny
OLE bjarne|Object Linking & Embedding (MS deformity)
additions bjarne|Please submit your additions for calc, man, and proto to `CYCO.
# bjarne|# - (pound sign), indicates a preprocessor directive when it occurs as the first non-whitespace character at a line.  It signifies a compiler action, not necessarily associated with code generation. # and ## are also used as operators to perform token replacement and merging during the preprocessor scanning phase.
defined bjarne|what do I look like, a dictionary??
gunzip&tar `CYCO|gunzip < file.tar.gz | tar xvpf -
java bjarne|Java Home Page = http://java.sun.com/
ircrfc Setzer|ircrfc = For those of you writing IRC clients, see RFCs 1459, 2812, 2813, and (calc IDENT) 1413.  (Original IRC RFC, updated Client Protocol, Server Protocol, and Identification Protocol.  Respectively)
altavista bjarne|http://www.altavista.digital.com  (The Web's "best" search engine)
magellan bjarne|http://www.magellan.com/ [The web's "worst" search engine]
Tuna bjarne|One fish two fish, red fish blue fish.
wine bjarne|*WIN*does *E*mulator. (wine == whine) :)
DOSEMU bjarne|DOS *EMU*lator (also a cow like mammal.. the Emu)
false bjarne|0
comma bjarne|comma operator: (expr1, expr2) evaluates both expressions and has the value of expr2
virtunix bjarne|Virtual UNIX for Windows NT!! http://www.itribe.net/virtunix/
